"Statistic","Year","Engine Capacity cc","Car Make","Emission Band","Licensing Authority","UNIT","VALUE"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","All licensing authorities","Number","168327"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Carlow","Number","1886"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Cavan","Number","2493"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Clare","Number","3965"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Donegal","Number","6256"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Galway","Number","7886"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Kerry","Number","3726"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Kildare","Number","7402"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Kilkenny","Number","3055"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Laois","Number","2216"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Leitrim","Number","1134"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Longford","Number","1269"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Louth","Number","4540"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Mayo","Number","4100"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Meath","Number","5881"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Monaghan","Number","2472"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Offaly","Number","2089"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Roscommon","Number","5288"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Sligo","Number","1993"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Westmeath","Number","3136"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Wexford","Number","5821"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Wicklow","Number","4042"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Limerick","Number","5841"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Waterford","Number","4701"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Tipperary","Number","4886"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Cork","Number","18235"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All makes","All bands","Dublin","Number","54014"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","All licensing authorities","Number","133"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Carlow","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Cavan","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Clare","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Donegal","Number","5"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Galway","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Kerry","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Kildare","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Kilkenny","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Laois","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Leitrim","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Longford","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Louth","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Mayo","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Meath","Number","9"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Monaghan","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Offaly","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Roscommon","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Sligo","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Westmeath","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Wexford","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Wicklow","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Limerick","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Waterford","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Tipperary","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Cork","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","All other makes","All bands","Dublin","Number","62"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","All licensing authorities","Number","120"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Carlow","Number","1"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Cavan","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Clare","Number","3"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Donegal","Number","4"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Galway","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Kerry","Number","0"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Kildare","Number","7"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Kilkenny","Number","2"
"All Private Cars","2015","All engine capacities with respect to private cars (cc)","Alfa Romeo","All bands","Laois","Number","1"
