Year,Statistic,County,car_count
2019,New Private Cars,Carlow,2
2019,New Private Cars,Cavan,2
2019,New Private Cars,Clare,3
2019,New Private Cars,Donegal,0
2019,New Private Cars,Galway,6
2019,New Private Cars,Kerry,3
2019,New Private Cars,Kildare,19
2019,New Private Cars,Kilkenny,3
2019,New Private Cars,Laois,3
2019,New Private Cars,Leitrim,0
2019,New Private Cars,Longford,1
2019,New Private Cars,Louth,1
2019,New Private Cars,Mayo,3
2019,New Private Cars,Meath,9
2019,New Private Cars,Monaghan,1
2019,New Private Cars,Offaly,3
2019,New Private Cars,Roscommon,1
2019,New Private Cars,Sligo,3
2019,New Private Cars,Westmeath,16
2019,New Private Cars,Wexford,5
2019,New Private Cars,Wicklow,19
2019,New Private Cars,Limerick,4
2019,New Private Cars,Waterford,4
2019,New Private Cars,Tipperary,7
2019,New Private Cars,Cork,26
2019,New Private Cars,Dublin,183
2019,New Private Cars,Carlow,0
2019,New Private Cars,Cavan,0
2019,New Private Cars,Clare,1
2019,New Private Cars,Donegal,1
2019,New Private Cars,Galway,0
2019,New Private Cars,Kerry,1
2019,New Private Cars,Kildare,3
2019,New Private Cars,Kilkenny,0
2019,New Private Cars,Laois,0
2019,New Private Cars,Leitrim,0
2019,New Private Cars,Longford,0
2019,New Private Cars,Louth,1
2019,New Private Cars,Mayo,1
2019,New Private Cars,Meath,0
2019,New Private Cars,Monaghan,0
2019,New Private Cars,Offaly,0
2019,New Private Cars,Roscommon,0
2019,New Private Cars,Sligo,0
2019,New Private Cars,Westmeath,0
2019,New Private Cars,Wexford,0
2019,New Private Cars,Wicklow,1
2019,New Private Cars,Limerick,0
2019,New Private Cars,Waterford,0
2019,New Private Cars,Tipperary,1
2019,New Private Cars,Cork,2
2019,New Private Cars,Dublin,25
2019,New Private Cars,Carlow,35
2019,New Private Cars,Cavan,35
2019,New Private Cars,Clare,71
2019,New Private Cars,Donegal,46
2019,New Private Cars,Galway,196
2019,New Private Cars,Kerry,38
2019,New Private Cars,Kildare,196
2019,New Private Cars,Kilkenny,56
2019,New Private Cars,Laois,42
2019,New Private Cars,Leitrim,21
2019,New Private Cars,Longford,17
2019,New Private Cars,Louth,43
2019,New Private Cars,Mayo,117
2019,New Private Cars,Meath,120
2019,New Private Cars,Monaghan,25
2019,New Private Cars,Offaly,37
2019,New Private Cars,Roscommon,200
2019,New Private Cars,Sligo,87
2019,New Private Cars,Westmeath,89
2019,New Private Cars,Wexford,179
2019,New Private Cars,Wicklow,85
2019,New Private Cars,Limerick,113
2019,New Private Cars,Waterford,192
2019,New Private Cars,Tipperary,75
2019,New Private Cars,Cork,423
2019,New Private Cars,Dublin,1910
2019,New Private Cars,Carlow,0
2019,New Private Cars,Cavan,0
2019,New Private Cars,Clare,0
2019,New Private Cars,Donegal,0
2019,New Private Cars,Galway,0
2019,New Private Cars,Kerry,0
2019,New Private Cars,Kildare,0
2019,New Private Cars,Kilkenny,0
2019,New Private Cars,Laois,0
2019,New Private Cars,Leitrim,0
2019,New Private Cars,Longford,0
2019,New Private Cars,Louth,0
2019,New Private Cars,Mayo,0
2019,New Private Cars,Meath,0
2019,New Private Cars,Monaghan,0
2019,New Private Cars,Offaly,0
2019,New Private Cars,Roscommon,0
2019,New Private Cars,Sligo,0
2019,New Private Cars,Westmeath,0
2019,New Private Cars,Wexford,0
2019,New Private Cars,Wicklow,0
2019,New Private Cars,Limerick,0
2019,New Private Cars,Waterford,0
2019,New Private Cars,Tipperary,0
2019,New Private Cars,Cork,0
2019,New Private Cars,Dublin,0
2019,New Private Cars,Carlow,13
2019,New Private Cars,Cavan,22
2019,New Private Cars,Clare,28
2019,New Private Cars,Donegal,14
2019,New Private Cars,Galway,65
2019,New Private Cars,Kerry,51
2019,New Private Cars,Kildare,130
2019,New Private Cars,Kilkenny,25
2019,New Private Cars,Laois,7
2019,New Private Cars,Leitrim,4
2019,New Private Cars,Longford,7
2019,New Private Cars,Louth,29
2019,New Private Cars,Mayo,27
2019,New Private Cars,Meath,66
2019,New Private Cars,Monaghan,13
2019,New Private Cars,Offaly,18
2019,New Private Cars,Roscommon,87
2019,New Private Cars,Sligo,13
2019,New Private Cars,Westmeath,130
2019,New Private Cars,Wexford,286
2019,New Private Cars,Wicklow,49
2019,New Private Cars,Limerick,74
2019,New Private Cars,Waterford,125
2019,New Private Cars,Tipperary,109
2019,New Private Cars,Cork,388
2019,New Private Cars,Dublin,2085
2019,New Private Cars,Carlow,0
2019,New Private Cars,Cavan,0
2019,New Private Cars,Clare,0
2019,New Private Cars,Donegal,0
2019,New Private Cars,Galway,0
2019,New Private Cars,Kerry,0
2019,New Private Cars,Kildare,0
2019,New Private Cars,Kilkenny,0
2019,New Private Cars,Laois,0
2019,New Private Cars,Leitrim,0
2019,New Private Cars,Longford,0
2019,New Private Cars,Louth,0
2019,New Private Cars,Mayo,0
2019,New Private Cars,Meath,0
