,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,Licensing Authority,UNIT,VALUE
0,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,All licensing authorities,Number,168327.0
1,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Carlow,Number,1886.0
2,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Cavan,Number,2493.0
3,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Clare,Number,3965.0
4,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Donegal,Number,6256.0
5,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Galway,Number,7886.0
6,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Kerry,Number,3726.0
7,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Kildare,Number,7402.0
8,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Kilkenny,Number,3055.0
9,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Laois,Number,2216.0
10,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Leitrim,Number,1134.0
11,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Longford,Number,1269.0
12,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Louth,Number,4540.0
13,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Mayo,Number,4100.0
14,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Meath,Number,5881.0
15,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Monaghan,Number,2472.0
16,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Offaly,Number,2089.0
17,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Roscommon,Number,5288.0
18,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Sligo,Number,1993.0
19,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Westmeath,Number,3136.0
20,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Wexford,Number,5821.0
21,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Wicklow,Number,4042.0
22,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Limerick,Number,5841.0
23,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Waterford,Number,4701.0
24,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Tipperary,Number,4886.0
25,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Cork,Number,18235.0
26,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,All bands,Dublin,Number,54014.0
27,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,All licensing authorities,Number,104555.0
28,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Carlow,Number,1259.0
29,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Cavan,Number,1494.0
30,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Clare,Number,2448.0
31,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Donegal,Number,3237.0
32,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Galway,Number,4672.0
33,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Kerry,Number,2223.0
34,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Kildare,Number,4506.0
35,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Kilkenny,Number,1966.0
36,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Laois,Number,1348.0
37,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Leitrim,Number,669.0
38,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Longford,Number,749.0
39,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Louth,Number,2683.0
40,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Mayo,Number,2296.0
41,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Meath,Number,3476.0
42,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Monaghan,Number,1315.0
43,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Offaly,Number,1263.0
44,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Roscommon,Number,3404.0
45,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Sligo,Number,1148.0
46,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Westmeath,Number,1878.0
47,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Wexford,Number,3921.0
48,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Wicklow,Number,2449.0
49,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Limerick,Number,3719.0
50,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Waterford,Number,3030.0
51,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Tipperary,Number,3121.0
52,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Cork,Number,11742.0
53,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  A,Dublin,Number,34539.0
54,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  B,All licensing authorities,Number,45584.0
55,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  B,Carlow,Number,455.0
56,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  B,Cavan,Number,675.0
57,All Private Cars,2015,All engine capacities with respect to private cars (cc),All makes,Band  B,Clare,Number,1080.0
