,Statistic,Year,Engine Capacity cc,Emission Band,county,car_count
12421,New Private Cars,2015,Up to 900 cc,Band  A,Carlow,4.0
12422,New Private Cars,2015,Up to 900 cc,Band  A,Cavan,3.0
12423,New Private Cars,2015,Up to 900 cc,Band  A,Clare,13.0
12424,New Private Cars,2015,Up to 900 cc,Band  A,Donegal,7.0
12425,New Private Cars,2015,Up to 900 cc,Band  A,Galway,25.0
12426,New Private Cars,2015,Up to 900 cc,Band  A,Kerry,19.0
12427,New Private Cars,2015,Up to 900 cc,Band  A,Kildare,42.0
12428,New Private Cars,2015,Up to 900 cc,Band  A,Kilkenny,10.0
12429,New Private Cars,2015,Up to 900 cc,Band  A,Laois,5.0
12430,New Private Cars,2015,Up to 900 cc,Band  A,Leitrim,2.0
12431,New Private Cars,2015,Up to 900 cc,Band  A,Longford,1.0
12432,New Private Cars,2015,Up to 900 cc,Band  A,Louth,21.0
12433,New Private Cars,2015,Up to 900 cc,Band  A,Mayo,7.0
12434,New Private Cars,2015,Up to 900 cc,Band  A,Meath,27.0
12435,New Private Cars,2015,Up to 900 cc,Band  A,Monaghan,5.0
12436,New Private Cars,2015,Up to 900 cc,Band  A,Offaly,1.0
12437,New Private Cars,2015,Up to 900 cc,Band  A,Roscommon,2.0
12438,New Private Cars,2015,Up to 900 cc,Band  A,Sligo,2.0
12439,New Private Cars,2015,Up to 900 cc,Band  A,Westmeath,7.0
12440,New Private Cars,2015,Up to 900 cc,Band  A,Wexford,21.0
12441,New Private Cars,2015,Up to 900 cc,Band  A,Wicklow,26.0
12442,New Private Cars,2015,Up to 900 cc,Band  A,Limerick,10.0
12443,New Private Cars,2015,Up to 900 cc,Band  A,Waterford,22.0
12444,New Private Cars,2015,Up to 900 cc,Band  A,Tipperary,11.0
12445,New Private Cars,2015,Up to 900 cc,Band  A,Cork,83.0
12446,New Private Cars,2015,Up to 900 cc,Band  A,Dublin,223.0
12448,New Private Cars,2015,Up to 900 cc,Band  B,Carlow,1.0
12449,New Private Cars,2015,Up to 900 cc,Band  B,Cavan,0.0
12450,New Private Cars,2015,Up to 900 cc,Band  B,Clare,0.0
12451,New Private Cars,2015,Up to 900 cc,Band  B,Donegal,1.0
12452,New Private Cars,2015,Up to 900 cc,Band  B,Galway,10.0
12453,New Private Cars,2015,Up to 900 cc,Band  B,Kerry,0.0
12454,New Private Cars,2015,Up to 900 cc,Band  B,Kildare,3.0
12455,New Private Cars,2015,Up to 900 cc,Band  B,Kilkenny,0.0
12456,New Private Cars,2015,Up to 900 cc,Band  B,Laois,0.0
12457,New Private Cars,2015,Up to 900 cc,Band  B,Leitrim,0.0
12458,New Private Cars,2015,Up to 900 cc,Band  B,Longford,0.0
12459,New Private Cars,2015,Up to 900 cc,Band  B,Louth,0.0
12460,New Private Cars,2015,Up to 900 cc,Band  B,Mayo,2.0
12461,New Private Cars,2015,Up to 900 cc,Band  B,Meath,5.0
12462,New Private Cars,2015,Up to 900 cc,Band  B,Monaghan,0.0
12463,New Private Cars,2015,Up to 900 cc,Band  B,Offaly,1.0
12464,New Private Cars,2015,Up to 900 cc,Band  B,Roscommon,2.0
12465,New Private Cars,2015,Up to 900 cc,Band  B,Sligo,0.0
12466,New Private Cars,2015,Up to 900 cc,Band  B,Westmeath,2.0
12467,New Private Cars,2015,Up to 900 cc,Band  B,Wexford,3.0
12468,New Private Cars,2015,Up to 900 cc,Band  B,Wicklow,2.0
12469,New Private Cars,2015,Up to 900 cc,Band  B,Limerick,14.0
12470,New Private Cars,2015,Up to 900 cc,Band  B,Waterford,2.0
12471,New Private Cars,2015,Up to 900 cc,Band  B,Tipperary,1.0
12472,New Private Cars,2015,Up to 900 cc,Band  B,Cork,20.0
