,Statistic,Year,Engine Capacity cc,Car Make,Emission Band,county,car_count
5833,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Carlow,1
5834,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Cavan,0
5835,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Clare,0
5836,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Donegal,2
5837,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Galway,3
5838,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Kerry,0
5839,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Kildare,1
5840,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Kilkenny,1
5841,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Laois,1
5842,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Leitrim,0
5843,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Longford,0
5844,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Louth,0
5845,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Mayo,0
5846,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Meath,3
5847,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Monaghan,1
5848,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Offaly,0
5849,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Roscommon,1
5850,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Sligo,0
5851,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Westmeath,1
5852,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Wexford,1
5853,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Wicklow,4
5854,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Limerick,2
5855,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Waterford,0
5856,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Tipperary,1
5857,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Cork,1
5858,New Private Cars,2015,All engine capacities with respect to private cars (cc),All other makes,All bands,Dublin,29
5860,New Private Cars,2015,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Carlow,0
5861,New Private Cars,2015,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Cavan,1
5862,New Private Cars,2015,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Clare,1
5863,New Private Cars,2015,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Donegal,0
5864,New Private Cars,2015,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Galway,0
