Year,Statistic,Engine Capacity cc,Car Make,Emission Band,county,car_count
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Carlow,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Clare,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Donegal,2
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Galway,3
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Kildare,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Kilkenny,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Laois,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Louth,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Meath,3
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Monaghan,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Roscommon,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Sligo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Westmeath,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Wexford,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Wicklow,4
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Limerick,2
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Waterford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Tipperary,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Cork,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),All other makes,All bands,Dublin,29
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Cavan,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Clare,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Donegal,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Galway,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Kerry,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Kildare,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Kilkenny,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Laois,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Leitrim,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Longford,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Louth,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Mayo,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Meath,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Monaghan,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Offaly,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Roscommon,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Sligo,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Westmeath,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Wexford,1
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Wicklow,3
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Limerick,2
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Waterford,3
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Tipperary,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Cork,2
2015,New Private Cars,All engine capacities with respect to private cars (cc),Alfa Romeo,All bands,Dublin,25
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Carlow,34
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Cavan,41
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Clare,59
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Donegal,76
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Galway,228
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Kerry,38
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Kildare,329
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Kilkenny,85
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Laois,43
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Leitrim,18
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Longford,21
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Louth,53
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Mayo,130
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Meath,125
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Monaghan,28
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Offaly,43
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Roscommon,198
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Sligo,92
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Westmeath,87
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Wexford,146
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Wicklow,95
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Limerick,140
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Waterford,213
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Tipperary,78
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Cork,489
2015,New Private Cars,All engine capacities with respect to private cars (cc),Audi,All bands,Dublin,2173
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Carlow,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Cavan,0
2015,New Private Cars,All engine capacities with respect to private cars (cc),Austin,All bands,Clare,0
